artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,PaintingsExhibitedAt,StylesYears,StylesCount,PaintingsExhibitedAtCount,Contemporary,Type
Gustave Courbet,French,,{Realism:272},"Rembrandt,Caravaggio,Diego Velazquez,Peter Paul Rubens,Francisco de Zurbaran,Baroque,Romanticism,Carolus-Duran,","Edouard Manet,Claude Monet,Pierre-Auguste Renoir,Paul Cezanne,James McNeill Whistler,Impressionism,Post-Impressionism,Expressionism,Alfred Sisley,Lucian Freud,Chaim Soutine,Charles-Francois Daubigny,Andres de Santa Maria,Jules Bastien-Lepage,Eugène Burnand,",,,,1830.0,1877.0,"London, Montpellier, Moscow, CA, UK, Norway, Dallas, Northampton, Canada, Canberra, Switzerland, Vevey, Besançon, Shelburne, US, Chicago, Germany, Winterthur, Amiens, Washington DC, MN, Ottawa, IL, Budapest, Minneapolis, Wuppertal, Tokyo, Troyes, Australia, Dresden, MA, Lille, Quebec City, Versailles, Paris, Strasbourg, Nancy, Honfleur, Denmark, Bayonne, Philadelphia, Stockholm, Hungary, Ornans, VT, Zürich, Nationalmuseum, Cologne, Boston, Berlin, Sweden, d'Histoire, Pasadena, Russia, Bremen, Toledo, Frankfurt, Oslo, Orleans, New Haven, Munich, France, NY, Japan, Lyon, OH, PA, Main, New York City, Hartford","Realism:1835-1877,Romanticism:1830-1849","{Realism:257}, {Romanticism:13}","{France:88},{Switzerland:7},{Lille:8},{Paris:41},{New York City:3},{NY:3},{US:22},{Ornans:4},{London:1},{UK:1},{Moscow:2},{Russia:2},{Quebec City:1},{Canada:2},{Nancy:1},{Lyon:3},{Chicago:2},{IL:2},{Bayonne:1},{Vevey:1},{Versailles:1},{Amiens:1},{Zürich:1},{Shelburne:1},{VT:1},{Besançon:5},{Pasadena:3},{CA:3},{Philadelphia:3},{PA:4},{Frankfurt:2},{Main:2},{Germany:9},{Winterthur:2},{Dallas:2},{Orleans:1},{Wuppertal:1},{Hartford:1},{Montpellier:10},{Troyes:2},{Honfleur:1},{Denmark:1},{Tokyo:1},{Japan:1},{d'Histoire:1},{Nationalmuseum:2},{Stockholm:2},{Sweden:2},{Berlin:2},{New Haven:1},{Washington DC:1},{Bremen:1},{Toledo:1},{OH:1},{Ottawa:1},{Cologne:2},{Boston:1},{MA:2},{Canberra:1},{Australia:1},{Minneapolis:1},{MN:1},{Northampton:1},{Munich:1},{Budapest:1},{Hungary:1},{Strasbourg:1},{Dresden:1},{Oslo:1},{Norway:1}",No,Painting/Sculpture
Auguste Rodin,French,,"{Modern art:3},{Impressionism:91}","Michelangelo,Donatello,","Georgia O'Keeffe,Man Ray,Aristide Maillol,Olexandr Archipenko,Jacques Lipchitz,Pablo Picasso,Ossip Zadkine,Henry Moore,","Constantin Brancusi,",,,1865.0,1985.0,"London, CA, UK, Switzerland, Lisbon, US, Germany, Netherlands, Portugal, Victoria, Brussels, Paris, Denmark, Philadelphia, Zürich, Belgium, Russia, Saint Petersburg, Munich, France, NY, Amsterdam, PA, New York City",Impressionism:1865-1905,{Impressionism:90},"{France:52},{Paris:15},{Brussels:2},{Belgium:1},{CA:7},{US:11},{Philadelphia:2},{PA:2},{Zürich:1},{Switzerland:1},{Munich:1},{Germany:1},{Saint Petersburg:6},{Russia:6},{Amsterdam:1},{Netherlands:1},{New York City:2},{NY:2},{Victoria:1},{London:1},{UK:1},{Lisbon:1},{Portugal:1},{Denmark:1}",,Painting/Sculpture
Frida Kahlo,Mexican,,"{Naïve Art (Primitivism),Surrealism:99}","Amedeo Modigliani,Diego Rivera,Jose Clemente Orozco,David Alfaro Siqueiros,Surrealism,","Judy Chicago,Georgia O'Keeffe,Feminist Art,",,,,1922.0,1954.0,"CA, LA, New York, US, New Orleans, Washington DC, Mexico City, IA, Los Angeles, Nagoya, San Francisco, Paris, Buffalo, Mexico, Des Moines, Argentina, Houston, Austin, Los Angeles County Museum of Art, France, NY, Japan, Des Moines Art Center, MFAH, New York City","Naïve Art (Primitivism):1922-1954,Surrealism:1929-1954","{Naïve Art (Primitivism):99}, {Surrealism:15}","{Mexico:50},{San Francisco:6},{New York:4},{Mexico City:44},{Los Angeles County Museum of Art:1},{Los Angeles:2},{CA:4},{US:17},{Des Moines Art Center:1},{Des Moines:1},{IA:1},{Paris:4},{France:4},{MFAH:1},{Houston:1},{Argentina:1},{New York City:6},{NY:7},{New Orleans:1},{LA:1},{Austin:1},{Buffalo:1},{Nagoya:1},{Japan:1},{Washington DC:1}",No,Painting/Sculpture
Banksy,,,,,,,,,2011.0,2011.0,"Los Angeles, London, UK, Palestine, California, USA",,,"{Palestine:1},{Los Angeles:3},{California:3},{USA:3},{London:6},{UK:6}",Yes,Painting/Sculpture
El Greco,"Spanish,Greek",Cretan School,"{Spanish Renaissance:1},{Renaissance:2},{Mannerism:1},{Mannerism (Late Renaissance):170}","Byzantine Art,","Expressionism,Cubism,Eugene Delacroix,Edouard Manet,Der Blaue Reiter (The Blue Rider),Paul Cezanne,Pablo Picasso,Franz Marc,Jackson Pollock,Roberto Montenegro,Jose Clemente Orozco,Francisco Pacheco,",,"Titian,","Giulio Clovio,",1568.0,1614.0,"Seville, London, Illescas, Romania, Moscow, Greece, CA, Museo del Prado, UK, Spain, Canada, Amsterdam, Bologna, US, Chicago, Netherlands, Washington DC, Amiens, Baltimore, MN, Ottawa, IL, NE, Athens, Omaha, Minneapolis, Edinburgh, Heraclion, Naples, Italy, MA, San Francisco, Lille, Paris, Strasbourg, Denmark, Stockholm, Bayonne, Philadelphia, Nationalmuseum, Barcelona, Bilbao, Boston, Providence, Sweden, Dublin, Ireland, San Antonio, Russia, Ermoupoli, Toledo, Saint Petersburg, Montreal, RI, France, Madrid, NY, Fort Worth, Bucharest, MD, OH, PA, New York City",Mannerism (Late Renaissance):1568-1600,"{Renaissance:2}, {XVI CenturySpanish Painting:1}, {Mannerism (Late Renaissance):170}","{Spain:75},{Boston:1},{MA:1},{US:27},{Museo del Prado:28},{Madrid:37},{Toledo:32},{Nationalmuseum:1},{Stockholm:1},{Sweden:1},{Illescas:2},{OH:3},{Moscow:1},{Russia:3},{Bayonne:1},{France:7},{Washington DC:4},{New York City:6},{NY:7},{Chicago:2},{IL:2},{Athens:3},{Greece:6},{Seville:2},{Fort Worth:1},{London:4},{UK:7},{Bucharest:2},{Romania:2},{San Francisco:2},{CA:1},{Ottawa:1},{Canada:2},{Amiens:1},{Lille:1},{Edinburgh:2},{Barcelona:1},{Bilbao:1},{Saint Petersburg:2},{Philadelphia:2},{PA:2},{Paris:3},{Providence:1},{RI:1},{Baltimore:2},{MD:2},{Dublin:1},{Ireland:1},{Amsterdam:1},{Netherlands:1},{Strasbourg:1},{Omaha:1},{NE:1},{San Antonio:1},{Montreal:1},{Minneapolis:1},{MN:1},{Denmark:1},{Naples:1},{Italy:2},{Heraclion:2},{Bologna:1},{Ermoupoli:1}",No,Painting/Sculpture
Diego Rivera,Mexican,"Mexican Mural Renaissance,La Ruche","{Social Realism,Muralism:146}","Marc Chagall,Robert Delaunay,","Frida Kahlo,Pedro Coronel,Vlady,",,,"Amedeo Modigliani,Saturnino Herran,Roberto Montenegro,Jose Clemente Orozco,David Alfaro Siqueiros,Mykhailo Boychuk,",1904.0,1956.0,"Moscow, CA, Acapulco, New York, Spain, Northampton, San Diego, US, Mexico City, Veracruz, Los Angeles, MA, San Francisco, Paris, Detroit, MI, AR, Mexico, Guerrero, Texcoco, Russia, Saint Petersburg, Los Angeles County Museum of Art, France, Little Rock","Cubism:1912-1916,Muralism:1922-1956,Art Deco:1923-1956,Social Realism:1904-1956,Naïve Art (Primitivism):1923-1952,Surrealism:1940-1954","{Post-impressionism:1}, {Cubism:19}, {Mexican School of Painting:2}, {Muralism:63}, {Art Deco:23}, {Social Realism:24}, {Naïve Art (Primitivism):13}, {Neoclassicism:1}, {Surrealism:3}, {Figurative Expressionism:1}","{France:1},{Paris:1},{Moscow:1},{Acapulco:2},{Mexico:77},{New York:1},{Spain:1},{Guerrero:1},{Mexico City:54},{Detroit:3},{MI:3},{US:9},{Northampton:1},{MA:1},{San Diego:1},{CA:4},{San Francisco:2},{Texcoco:14},{Los Angeles County Museum of Art:1},{Los Angeles:1},{Little Rock:1},{AR:1},{Saint Petersburg:1},{Russia:1},{Veracruz:2}",No,Painting/Sculpture
Claude Monet,French,,"{Modern art:3},{Impressionism:1340}","Gustave Courbet,Charles-Francois Daubigny,John Constable,J.M.W. Turner,Jean-Francois Millet,Alfred Sisley,Jacob van Ruisdael,","Childe Hassam,Robert Delaunay,Wassily Kandinsky,Frank W. Benson,",,"Eugene Boudin,Charles Gleyre,","Alfred Sisley,Pierre-Auguste Renoir,Camille Pissarro,Edouard Manet,Frederic Bazille,",1858.0,1926.0,"London, Main, Moscow, Rotterdam, Giverny, CA, UK, Dallas, Spain, PA, MO, Switzerland, OH, San Diego, US, Netherlands, Germany, Riehen, Washington DC, Williamstown, Chicago, IL, Cambridge, Budapest, Essen, Tokyo, Edinburgh, Johannesburg, Hague, Glasgow, MA, Austria, Paris, Detroit, Stockholm, MI, Hungary, Vienna, Nationalmuseum, Zürich, Providence, Boston, Berlin, Sweden, Dublin, Ireland, Russia, Saint Petersburg, Frankfurt, South Africa, RI, France, Madrid, Fort Worth, NY, Japan, Lyon, Amsterdam, Birmingham, Rouen, Oxford, New York City, Kansas City","Impressionist:1879-1904,Impressionism:1864-1926,Japonism:1876-1876,Realism:1858-1868","{Nineteenth-Century European PaintingImpressionism and Post-Impressionism:1}, {Impressionist:3}, {Impressionism:1326}, {Japonism:1}, {Realism:14}","{France:79},{Giverny:1},{London:6},{UK:15},{Boston:5},{MA:10},{US:35},{Paris:52},{Cambridge:5},{Madrid:4},{Spain:4},{Lyon:1},{Rotterdam:2},{Netherlands:7},{Amsterdam:3},{Fort Worth:2},{Rouen:2},{New York City:12},{NY:12},{Moscow:5},{Russia:16},{Saint Petersburg:11},{Tokyo:3},{Japan:3},{Essen:2},{Germany:4},{Riehen:1},{Switzerland:3},{Williamstown:2},{Edinburgh:1},{Budapest:1},{Hungary:1},{Glasgow:2},{Nationalmuseum:1},{Stockholm:1},{Sweden:1},{Hague:2},{Birmingham:1},{Vienna:1},{Austria:1},{Washington DC:1},{Dallas:1},{Dublin:1},{Ireland:1},{Zürich:2},{PA:2},{Detroit:1},{MI:1},{Johannesburg:1},{South Africa:1},{Kansas City:1},{MO:1},{Oxford:1},{Providence:1},{RI:1},{Frankfurt:1},{Main:1},{Chicago:2},{IL:2},{OH:1},{Berlin:1},{San Diego:1},{CA:1}",No,Painting/Sculpture
Francisco Goya,Spanish,,{Romanticism:391},"Albrecht Durer,Diego Velazquez,","Pablo Picasso,Chaim Soutine,Roberto Montenegro,Jose Clemente Orozco,Pierre-Auguste Renoir,Max Klinger,",,"José Luzán,Anton Raphael Mengs,",,1760.0,1828.0,"London, Rotterdam, Museo del Prado, UK, Kunsthalle, Dallas, Spain, Canada, Switzerland, Castres, Sao Paulo, Winterthur, Germany, Netherlands, MN, US, Washington DC, Ottawa, Budapest, Minneapolis, Brazil, Florida, Italy, San Francisco, Lille, Hamburg, Paris, Stockholm, Bayonne, Hungary, Florence, MI, Nationalmuseum, Bilbao, Sweden, Dublin, Ireland, Russia, Saint Petersburg, Frankfurt, Toledo, Munich, France, Madrid, NY, Fort Worth, Amsterdam, Zaragoza, Main, New York City",Romanticism:1760-1828,"{Neoclassicism / Portrait:1}, {Genre:1}, {Romanticism:389}","{Spain:168},{Paris:7},{Madrid:96},{Museo del Prado:66},{Munich:2},{Germany:6},{Winterthur:2},{Switzerland:2},{France:14},{Frankfurt:1},{Main:1},{Sao Paulo:2},{Brazil:2},{Bayonne:4},{Amsterdam:2},{Netherlands:3},{Saint Petersburg:2},{Russia:2},{Minneapolis:1},{MN:1},{US:22},{Lille:2},{New York City:12},{NY:12},{Dallas:1},{Washington DC:6},{Ottawa:2},{Canada:2},{Bilbao:2},{Rotterdam:1},{Castres:1},{Zaragoza:2},{Nationalmuseum:1},{Stockholm:1},{Sweden:1},{London:4},{UK:7},{Dublin:2},{Ireland:2},{Florence:2},{Italy:2},{Kunsthalle:3},{Hamburg:6},{Florida:1},{Toledo:2},{Budapest:1},{Hungary:1},{Fort Worth:1},{MI:1},{San Francisco:1}",No,Painting/Sculpture
Edvard Munch,Norwegian,"Berlin Secession,Degenerate art","{Symbolism,Expressionism:188}","Paul Gauguin,Vincent van Gogh,Henri de Toulouse-Lautrec,Georges Seurat,Caspar David Friedrich,","Egon Schiele,Wassily Kandinsky,Ernst Ludwig Kirchner,Max Beckmann,Paul Klee,Henri Matisse,Expressionism,Surrealism,",,"Leon Bonnat,","Franz Marc,",1881.0,1944.0,"Bergen, Norway, Thielska, Switzerland, US, Germany, Finland, Lübeck, Behnhaus, Helsinki, MA, Paris, Stockholm, Philadelphia, Zürich, Boston, Berlin, Sweden, Bremen, Galleriet, Oslo, France, NY, PA, New York City","Expressionism:1885-1944,Symbolism:1892-1902,Impressionism:1883-1896,Realism:1881-1884","{Expressionism:163}, {Symbolism:9}, {Impressionism:8}, {Realism:6}","{Berlin:5},{Oslo:126},{Norway:147},{Bergen:17},{Germany:6},{Helsinki:1},{Finland:1},{Thielska:3},{Galleriet:3},{Stockholm:4},{Sweden:4},{Paris:1},{France:1},{Behnhaus:1},{Lübeck:1},{Zürich:1},{Switzerland:1},{Bremen:1},{New York City:4},{NY:4},{US:7},{Philadelphia:2},{PA:2},{Boston:1},{MA:1}",No,Painting/Sculpture
Peter Paul Rubens,Flemish,"Flemish School,Antwerp School","{Antwerp school:3},{Baroque:390}","Titian,Pieter Bruegel the Elder,Caravaggio,Hans Holbein the Younger,","Gustave Courbet,Frans Hals,Rembrandt,John Constable,Théodore Géricault,Eugene Delacroix,Rosa Bonheur,Jenny Saville,Claudio Coello,","Anthony van Dyck,Jacob Jordaens,Frans Snyders,","Tobias Verhaecht,Adam van Noort,Otto van Veen,","Diego Velazquez,",1597.0,1640.0,"London, Prague, Moscow, Rotterdam, Museo del Prado, UK, Spain, des Antiquités, Canberra, Canada, Jacksonville, Rome, US, Netherlands, Germany, Washington DC, England, Marseille, Ottawa, Milan, Edinburgh, Australia, Brussels, Italy, Vallicella, Hague, Dresden, Glasgow, Albertina, MA, Genoa, Austria, Lille, Paris, Denmark, Detroit, Bayonne, MI, Florence, Vienna, Tours, Cologne, Belgium, Boston, Czech Republic, Berlin, Russia, Braunschweig, Saint Petersburg, Antwerp, Venice, Toledo, Belgrade, Munich, France, Madrid, NY, Serbia, Lyon, OH, Rouen, New York City",Baroque:1597-1640,"{Baroque Flemish Art / Portrait:1}, {XVII CenturyFlemish Painting:1}, {Flemish Baroque:7}, {Flemish:1}, {Baroque:387}","{Antwerp:49},{Brussels:12},{England:1},{Belgium:33},{London:20},{Netherlands:9},{Lille:2},{France:37},{UK:21},{Paris:29},{Rotterdam:5},{Saint Petersburg:15},{Russia:16},{Munich:20},{Germany:29},{Florence:13},{Italy:21},{Museo del Prado:26},{Madrid:29},{Spain:29},{Bayonne:2},{Prague:6},{Czech Republic:3},{New York City:3},{NY:3},{US:13},{Marseille:1},{Venice:1},{Albertina:1},{Vienna:16},{Austria:18},{Boston:6},{MA:6},{Dresden:1},{Edinburgh:1},{Milan:1},{Toledo:1},{OH:1},{Hague:2},{Denmark:1},{Canberra:1},{Australia:1},{Berlin:3},{Lyon:1},{Rome:4},{Cologne:4},{Braunschweig:1},{Detroit:1},{MI:1},{des Antiquités:1},{Rouen:1},{Belgrade:1},{Serbia:1},{Moscow:1},{Glasgow:1},{Ottawa:1},{Canada:1},{Vallicella:1},{Genoa:2},{Jacksonville:1},{Washington DC:1},{Tours:1}",No,Painting/Sculpture
