artist,birth_place,other_work_places,birth_year,death_year
Albrecht Durer,Nuremberg, Venice, 1471, 1528
Charles-Andre van Loo (Carle van Loo),Nice, Paris_Rome, 1705, 1765
Limbourg brothers, Nijmegen, Paris, 1385, 1416
Bartolome Esteban Murillo,Seville, Madrid, 1617, 1682
J.M.W. Turner,London, Venice, 1775, 1851
Marià Fortuny,Reus,Morocco_Rome_Madrid_Paris, 1838, 1874
Currier and Ives,New York,, 1834, 1907
Honore Daumier,Marseille,Paris_Barbizon, 1808, 1879
Arkhyp Kuindzhi,Mariupol,St. Petersburg, 1842, 1910
Zinaida Serebriakova,Neskuchnoye,St. Petersburg_Paris, 1884, 1967
Konstantin Korovin,Moscow,Paris_St. Petersburg_Spain, 1861, 1939
Felix Vallotton, Lausanne,Paris, 1865, 1925
Maria Bozoky,Oradea,Budapest, 1909, 2006
Wilhelm Kotarbinski, Nieborow,Kyiv, 1849, 1921
Dorothy Lathrop,Albany,New York, 1891, 1980
Kmetty János,Miskolc, Budapest_Paris_Kosice, 1889, 1975
Zdzislaw Beksinski,Sanok,Warsaw_Krakow, 1929, 2005
Rene Magritte,Lessines,Brussels, 1898, 1967
Vajda Lajos,Zalaegerszeg, Budapest, 1908, 1941
Kukryniksy,,Moscow, 1902, 1991
Valerii Lamakh,,Kiev, 1953, 2009
Vilen Barsky,Kiev, Moscow, 1933, 2012
Oleksandr Aksinin,Kiev, Moscow, 1930, 2012
Gazmend Freitag,,Kosovo_Linz, 1968,
Ding Yanyong,Maoming,Hong Kong, 1902, 1978
Olowe of Ise,,Ise_Nigeria, 1873, 1938
Le Nain brothers,Picardy,Paris, 1600, 1648
