artist,Nationality,birth_place,birth_year,styles,styles_extended,StylesYears,StylesCount,PlacesCount,Contemporary,Type,movement,ArtMovement,pictures_count,FirstYear,LastYear,Places,PlacesYears,PaintingSchool,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers
Ad Reinhardt,American,Buffalo,1913.0,"Abstract Art, Abstract Expressionism, Color Field Painting, Expressionism, Hard Edge Painting, Synthetic Cubism","{Abstract Art:15},{Abstract Expressionism:5},{Color Field Painting:15},{Expressionism:7},{Hard Edge Painting:8},{Synthetic Cubism:2}","Expressionism:1944-1946,Abstract Art:1937-1941,Color Field Painting:1952-1966,Hard Edge Painting:1948-1953,Abstract Expressionism:1946-1950,Synthetic Cubism:1940-1940","{Expressionism:7}, {Abstract Art:15}, {Color Field Painting:15}, {Hard Edge Painting:8}, {Abstract Expressionism:5}, {Synthetic Cubism:2}","{New York City:29},{NY:31},{US:32},{Buffalo:2},{Canberra:1},{Australia:1},{Fort Worth:1}",No,,Abstract Expressionism,"{Abstract Expressionism,Minimalism:52}",52,1937.0,1966.0,"US, NY, Canberra, Fort Worth, Buffalo, Australia, New York City","New York City:1938-1966,NY:1938-1966,US:1938-1966,Buffalo:1952-1964,Canberra:1954-1958,Australia:1954-1958,Fort Worth:1946-1946","New York School,American Abstract Artists,Irascibles","Piet Mondrian,Kazimir Malevich,Josef Albers,","Donald Judd,Barnett Newman,Mark Rothko,Frank Stella,",,,"Jackson Pollock,"
Adnan Coker,Turkish,,,"Abstract Art, Abstract Expressionism","{Abstract Art:25},{Abstract Expressionism:3}","Abstract Art:1992-2008,Abstract Expressionism:1968-1968","{Abstract Art:25}, {Abstract Expressionism:3}",,Yes,,Abstract Art,{Abstract Art:28},28,1968.0,2008.0,,,,,,,,
Akkitham Narayanan,Indian,Kerala,1939.0,Abstract Art,{Abstract Art:17},Abstract Art:1974-1974,{Abstract Art:17},,No,,Abstract Art,{Abstract Art:17},17,1974.0,1974.0,,,,,,,,
Alberto Magnelli,"Italian,French",Florence,1888.0,"Abstract Art, Art Nouveau (Modern), Cubism, Expressionism, Fauvism, Metaphysical art","{Abstract Art:19},{Art Nouveau (Modern):2},{Cubism:4},{Expressionism:5},{Fauvism:4},{Metaphysical art:1}","Abstract Art:1916-1971,Cubism:1914-1935,Metaphysical art:1931-1931,Expressionism:1914-1922,Fauvism:1914-1914,Art Nouveau (Modern):1909-1910","{Abstract Art:21}, {Cubism:10}, {Metaphysical art:1}, {Expressionism:5}, {Fauvism:4}, {Art Nouveau (Modern):2}",,No,,Abstract Art,"{Abstract Art,Cubo-Futurism,Concrete Art (Concretism):35}",35,1909.0,1971.0,,,Abstraction-Création,,,,,
Alekos Kontopoulos,Greek,Lamia,1904.0,"Abstract Art, Cubism, Expressionism, Post-Impressionism, Realism, Social Realism, Surrealism","{Abstract Art:26},{Cubism:5},{Expressionism:10},{Post-Impressionism:8},{Realism:12},{Social Realism:6},{Surrealism:12}","Post-Impressionism:1932-1955,Expressionism:1939-1973,Realism:1943-1956,Abstract Art:1954-1974,Cubism:1951-1956,Surrealism:1960-1973,Social Realism:1931-1969","{Post-Impressionism:8}, {Expressionism:11}, {Realism:12}, {Abstract Art:27}, {Cubism:5}, {Surrealism:12}, {Social Realism:7}",,No,,Social Realism,"{Abstract Art,Social Realism:79}",79,1931.0,1974.0,,,,,,,,
Alexander Calder,American,Philadelphia,1898.0,"Abstract Art, Abstract Expressionism, American Realism, Environmental (Land) Art, Expressionism, Kinetic Art, Surrealism, Unknown","{Abstract Art:32},{Abstract Expressionism:22},{American Realism:7},{Environmental (Land) Art:1},{Expressionism:88},{Kinetic Art:56},{Surrealism:21},{Unknown:2}","Expressionism:1909-1975,American Realism:1922-1925,Kinetic Art:1926-1975,Abstract Art:1930-1975,Surrealism:1932-1973,Abstract Expressionism:1963-1975,Environmental (Land) Art:1970-1970","{Expressionism:99}, {American Realism:7}, {Kinetic Art:63}, {Abstract Art:37}, {Surrealism:25}, {Abstract Expressionism:22}, {Environmental (Land) Art:1}","{New York City:11},{NY:11},{US:12},{Des Moines Art Center:1},{Des Moines:1},{IA:1}",No,,Kinetic art,"{Kinetic art:231},{Contemporary art:1},{Modern art:1},{Abstract art:1}",229,1909.0,1975.0,"US, NY, Des Moines Art Center, IA, Des Moines, New York City","New York City:1926-1956,NY:1926-1956,US:1926-1968,Des Moines Art Center:1968-1968,Des Moines:1968-1968,IA:1968-1968",Abstraction-Création,,,,,
Alexander Rodchenko,Russian,Saint Petersburg,1891.0,"Abstract Art, Constructivism, Cubo-Futurism, Unknown","{Abstract Art:5},{Constructivism:53},{Cubo-Futurism:2},{Unknown:26}",,,,No,,Avant-garde,{Constructivism:24},86,1915.0,1915.0,,,"Oktyabr (October),LEF (Left Front of the Arts)","И это стоит столетья,Artists2/Alexander Rodchenko/Cover Of Book About That 1923.jpg,Маяковский улыбается, смеется, издевается,Рекламный плакат для Резинотреста,Лёт. Авиа-стихи.,Рекламный плакат для Моссельпрома,Artists2/Alexander Rodchenko/Arvatov About Mayakovsky 1923.jpg,Artists2/Alexander Rodchenko/Dobroliot Fly Well 1923.jpg,Artists2/Alexander Rodchenko/Watches 1923.jpg,Artists2/Alexander Rodchenko/About That 1923.jpg,24 x 20 cm,Artists2/Alexander Rodchenko/Nonsense 1921.jpg,Artists2/Alexander Rodchenko/Abstraction Rupture 1920.jpg,160 x 129 cm,Беспредметная композиция № 65,53 x 21 cm,Композиция,Artists2/Alexander Rodchenko/Objectless Composition 65 Still Life 1918.jpg,Белый круг,90 x 62 cm,40.2 x 35.5 cm,Конструкция,78 x 50.8 cm,",,,,
Alexej von Jawlensky,,Torzhok,1864.0,"Abstract Art, Expressionism, Fauvism, Impressionism, Pointillism, Unknown","{Abstract Art:9},{Expressionism:31},{Fauvism:24},{Impressionism:2},{Pointillism:1},{Unknown:1}",,,{Germany:1},No,,Expressionism,,68,1908.0,1910.0,Germany,,,,,,,
Alla Horska,Ukrainian,Yalta,1929.0,"Abstract Art, Cubism, Expressionism, Naïve Art (Primitivism), Socialist Realism","{Abstract Art:4},{Cubism:3},{Expressionism:10},{Naïve Art (Primitivism):7},{Socialist Realism:8}","Naïve Art (Primitivism):1960-1970,Cubism:1970-1970,Abstract Art:1960-1970,Expressionism:1960-1970,Socialist Realism:1950-1970","{Naïve Art (Primitivism):12}, {Cubism:3}, {Abstract Art:4}, {Expressionism:16}, {Socialist Realism:8}",,No,,Socialist Realism,"{Socialist Realism,Naïve Art (Primitivism),Soviet Nonconformist Art:32}",32,1950.0,1970.0,,,,"Mykhailo Boychuk,",,,"Sergiy Grigoriev,",
Alphonse Allais,French,Honfleur,1854.0,Abstract Art,{Abstract Art:7},Abstract Art:1883-1884,{Abstract Art:7},,No,,Incoherents,{Incoherents:7},7,1883.0,1884.0,,,,,,,,
