artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,Places,PlacesYears,StylesYears,StylesCount,PlacesCount,Contemporary,Type
Gustave Courbet,French,,{Realism:272},"Rembrandt,Caravaggio,Diego Velazquez,Peter Paul Rubens,Francisco de Zurbaran,Baroque,Romanticism,Carolus-Duran,","Edouard Manet,Claude Monet,Pierre-Auguste Renoir,Paul Cezanne,James McNeill Whistler,Impressionism,Post-Impressionism,Expressionism,Alfred Sisley,Lucian Freud,Chaim Soutine,Charles-Francois Daubigny,Andres de Santa Maria,Jules Bastien-Lepage,Eugène Burnand,",,,,1830.0,1877.0,"London, Montpellier, Moscow, CA, UK, Norway, Dallas, Northampton, Canada, Canberra, Switzerland, Vevey, Besançon, Shelburne, US, Chicago, Germany, Winterthur, Amiens, Washington DC, MN, Ottawa, IL, Budapest, Minneapolis, Wuppertal, Tokyo, Troyes, Australia, Dresden, MA, Lille, Quebec City, Versailles, Paris, Strasbourg, Nancy, Honfleur, Denmark, Bayonne, Philadelphia, Stockholm, Hungary, Ornans, VT, Zürich, Nationalmuseum, Cologne, Boston, Berlin, Sweden, d'Histoire, Pasadena, Russia, Bremen, Toledo, Frankfurt, Oslo, Orleans, New Haven, Munich, France, NY, Japan, Lyon, OH, PA, Main, New York City, Hartford","France:1841-1876,Switzerland:1844-1874,Lille:1841-1867,Paris:1841-1876,New York City:1866-1868,NY:1866-1868,US:1854-1872,Ornans:1860-1874,Moscow:1867-1867,Russia:1867-1867,Canada:1858-1858,Lyon:1844-1866,Chicago:1855-1855,IL:1855-1855,Vevey:1874-1874,Versailles:1874-1874,Amiens:1873-1873,Zürich:1872-1872,Shelburne:1871-1872,VT:1871-1872,Besançon:1850-1871,Pasadena:1865-1871,CA:1865-1871,Philadelphia:1854-1871,PA:1854-1871,Frankfurt:1858-1870,Main:1858-1870,Germany:1849-1870,Winterthur:1844-1870,Dallas:1860-1870,Orleans:1870-1870,Wuppertal:1869-1869,Hartford:1869-1869,Montpellier:1848-1866,Troyes:1848-1866,Honfleur:1866-1866,Denmark:1865-1865,Tokyo:1865-1865,Japan:1865-1865,d'Histoire:1865-1865,Nationalmuseum:1847-1865,Stockholm:1847-1865,Sweden:1847-1865,Berlin:1865-1865,New Haven:1864-1864,Washington DC:1860-1863,Bremen:1863-1863,Toledo:1862-1862,OH:1862-1862,Ottawa:1858-1858,Cologne:1858-1858,Boston:1857-1857,MA:1855-1857,Canberra:1856-1856,Australia:1856-1856,Minneapolis:1854-1855,MN:1854-1855,Northampton:1855-1855,Munich:1854-1854,Budapest:1852-1853,Hungary:1852-1853,Strasbourg:1849-1849,Dresden:1849-1849,Oslo:1843-1844,Norway:1843-1844","Realism:1835-1877,Romanticism:1830-1849","{Realism:257}, {Romanticism:13}","{France:88},{Switzerland:7},{Lille:8},{Paris:41},{New York City:3},{NY:3},{US:22},{Ornans:4},{London:1},{UK:1},{Moscow:2},{Russia:2},{Quebec City:1},{Canada:2},{Nancy:1},{Lyon:3},{Chicago:2},{IL:2},{Bayonne:1},{Vevey:1},{Versailles:1},{Amiens:1},{Zürich:1},{Shelburne:1},{VT:1},{Besançon:5},{Pasadena:3},{CA:3},{Philadelphia:3},{PA:4},{Frankfurt:2},{Main:2},{Germany:9},{Winterthur:2},{Dallas:2},{Orleans:1},{Wuppertal:1},{Hartford:1},{Montpellier:10},{Troyes:2},{Honfleur:1},{Denmark:1},{Tokyo:1},{Japan:1},{d'Histoire:1},{Nationalmuseum:2},{Stockholm:2},{Sweden:2},{Berlin:2},{New Haven:1},{Washington DC:1},{Bremen:1},{Toledo:1},{OH:1},{Ottawa:1},{Cologne:2},{Boston:1},{MA:2},{Canberra:1},{Australia:1},{Minneapolis:1},{MN:1},{Northampton:1},{Munich:1},{Budapest:1},{Hungary:1},{Strasbourg:1},{Dresden:1},{Oslo:1},{Norway:1}",No,Painting/Sculpture
Auguste Rodin,French,,"{Modern art:3},{Impressionism:91}","Michelangelo,Donatello,","Georgia O'Keeffe,Man Ray,Aristide Maillol,Olexandr Archipenko,Jacques Lipchitz,Pablo Picasso,Ossip Zadkine,Henry Moore,","Constantin Brancusi,",,,1865.0,1985.0,"London, CA, UK, Switzerland, Lisbon, US, Germany, Netherlands, Portugal, Victoria, Brussels, Paris, Denmark, Philadelphia, Zürich, Belgium, Russia, Saint Petersburg, Munich, France, NY, Amsterdam, PA, New York City","France:1865-1889,Paris:1865-1898,CA:1891-1891,US:1884-1891,Zürich:1885-1885,Switzerland:1885-1885,New York City:1884-1884,NY:1884-1884,Victoria:1891-1891,London:1891-1891,UK:1891-1891,Denmark:1880-1880",Impressionism:1865-1905,{Impressionism:90},"{France:52},{Paris:15},{Brussels:2},{Belgium:1},{CA:7},{US:11},{Philadelphia:2},{PA:2},{Zürich:1},{Switzerland:1},{Munich:1},{Germany:1},{Saint Petersburg:6},{Russia:6},{Amsterdam:1},{Netherlands:1},{New York City:2},{NY:2},{Victoria:1},{London:1},{UK:1},{Lisbon:1},{Portugal:1},{Denmark:1}",,Painting/Sculpture
Frida Kahlo,Mexican,,"{Naïve Art (Primitivism),Surrealism:99}","Amedeo Modigliani,Diego Rivera,Jose Clemente Orozco,David Alfaro Siqueiros,Surrealism,","Judy Chicago,Georgia O'Keeffe,Feminist Art,",,,,1922.0,1954.0,"CA, LA, New York, US, New Orleans, Washington DC, Mexico City, IA, Los Angeles, Nagoya, San Francisco, Paris, Buffalo, Mexico, Des Moines, Argentina, Houston, Austin, Los Angeles County Museum of Art, France, NY, Japan, Des Moines Art Center, MFAH, New York City","Mexico:1927-1954,San Francisco:1931-1933,Mexico City:1927-1954,Los Angeles County Museum of Art:1951-1951,Los Angeles:1931-1951,CA:1931-1951,US:1931-1951,Des Moines Art Center:1947-1947,Des Moines:1947-1947,IA:1947-1947,Paris:1937-1946,France:1937-1946,MFAH:1945-1945,Houston:1945-1945,Argentina:1942-1942,New York City:1932-1940,NY:1932-1940,New Orleans:1941-1941,LA:1941-1941,Austin:1940-1940,Buffalo:1938-1938,Nagoya:1938-1938,Japan:1938-1938,Washington DC:1937-1937","Naïve Art (Primitivism):1922-1954,Surrealism:1929-1954","{Naïve Art (Primitivism):99}, {Surrealism:15}","{Mexico:50},{San Francisco:6},{New York:4},{Mexico City:44},{Los Angeles County Museum of Art:1},{Los Angeles:2},{CA:4},{US:17},{Des Moines Art Center:1},{Des Moines:1},{IA:1},{Paris:4},{France:4},{MFAH:1},{Houston:1},{Argentina:1},{New York City:6},{NY:7},{New Orleans:1},{LA:1},{Austin:1},{Buffalo:1},{Nagoya:1},{Japan:1},{Washington DC:1}",No,Painting/Sculpture
Banksy,,,,,,,,,2011.0,2011.0,"Los Angeles, London, UK, Palestine, California, USA","London:2011-2011,UK:2011-2011",,,"{Palestine:1},{Los Angeles:3},{California:3},{USA:3},{London:6},{UK:6}",Yes,Painting/Sculpture
El Greco,"Spanish,Greek",Cretan School,"{Spanish Renaissance:1},{Renaissance:2},{Mannerism:1},{Mannerism (Late Renaissance):170}","Byzantine Art,","Expressionism,Cubism,Eugene Delacroix,Edouard Manet,Der Blaue Reiter (The Blue Rider),Paul Cezanne,Pablo Picasso,Franz Marc,Jackson Pollock,Roberto Montenegro,Jose Clemente Orozco,Francisco Pacheco,",,"Titian,","Giulio Clovio,",1568.0,1614.0,"Seville, London, Illescas, Romania, Moscow, Greece, CA, Museo del Prado, UK, Spain, Canada, Amsterdam, Bologna, US, Chicago, Netherlands, Washington DC, Amiens, Baltimore, MN, Ottawa, IL, NE, Athens, Omaha, Minneapolis, Edinburgh, Heraclion, Naples, Italy, MA, San Francisco, Lille, Paris, Strasbourg, Denmark, Stockholm, Bayonne, Philadelphia, Nationalmuseum, Barcelona, Bilbao, Boston, Providence, Sweden, Dublin, Ireland, San Antonio, Russia, Ermoupoli, Toledo, Saint Petersburg, Montreal, RI, France, Madrid, NY, Fort Worth, Bucharest, MD, OH, PA, New York City","Spain:1577-1599,London:1600-1600,UK:1600-1600,Museo del Prado:1577-1597,Madrid:1577-1599,San Antonio:1580-1580,US:1571-1580,Toledo:1577-1577,Minneapolis:1571-1571,MN:1571-1571,Athens:1568-1570,Greece:1568-1570",Mannerism (Late Renaissance):1568-1600,"{Renaissance:2}, {XVI CenturySpanish Painting:1}, {Mannerism (Late Renaissance):170}","{Spain:75},{Boston:1},{MA:1},{US:27},{Museo del Prado:28},{Madrid:37},{Toledo:32},{Nationalmuseum:1},{Stockholm:1},{Sweden:1},{Illescas:2},{OH:3},{Moscow:1},{Russia:3},{Bayonne:1},{France:7},{Washington DC:4},{New York City:6},{NY:7},{Chicago:2},{IL:2},{Athens:3},{Greece:6},{Seville:2},{Fort Worth:1},{London:4},{UK:7},{Bucharest:2},{Romania:2},{San Francisco:2},{CA:1},{Ottawa:1},{Canada:2},{Amiens:1},{Lille:1},{Edinburgh:2},{Barcelona:1},{Bilbao:1},{Saint Petersburg:2},{Philadelphia:2},{PA:2},{Paris:3},{Providence:1},{RI:1},{Baltimore:2},{MD:2},{Dublin:1},{Ireland:1},{Amsterdam:1},{Netherlands:1},{Strasbourg:1},{Omaha:1},{NE:1},{San Antonio:1},{Montreal:1},{Minneapolis:1},{MN:1},{Denmark:1},{Naples:1},{Italy:2},{Heraclion:2},{Bologna:1},{Ermoupoli:1}",No,Painting/Sculpture
Diego Rivera,Mexican,"Mexican Mural Renaissance,La Ruche","{Social Realism,Muralism:146}","Marc Chagall,Robert Delaunay,","Frida Kahlo,Pedro Coronel,Vlady,",,,"Amedeo Modigliani,Saturnino Herran,Roberto Montenegro,Jose Clemente Orozco,David Alfaro Siqueiros,Mykhailo Boychuk,",1904.0,1956.0,"Moscow, CA, Acapulco, New York, Spain, Northampton, San Diego, US, Mexico City, Veracruz, Los Angeles, MA, San Francisco, Paris, Detroit, MI, AR, Mexico, Guerrero, Texcoco, Russia, Saint Petersburg, Los Angeles County Museum of Art, France, Little Rock","Acapulco:1956-1956,Mexico:1905-1956,Guerrero:1956-1956,Mexico City:1907-1952,Detroit:1932-1933,MI:1932-1933,US:1914-1941,Northampton:1941-1941,MA:1941-1941,San Diego:1940-1940,CA:1925-1940,San Francisco:1931-1935,Texcoco:1924-1927,Los Angeles County Museum of Art:1925-1925,Los Angeles:1925-1925,Little Rock:1914-1914,AR:1914-1914,Saint Petersburg:1913-1913,Russia:1913-1913,Veracruz:1913-1913","Cubism:1912-1916,Muralism:1922-1956,Art Deco:1923-1956,Social Realism:1904-1956,Naïve Art (Primitivism):1923-1952,Surrealism:1940-1954","{Post-impressionism:1}, {Cubism:19}, {Mexican School of Painting:2}, {Muralism:63}, {Art Deco:23}, {Social Realism:24}, {Naïve Art (Primitivism):13}, {Neoclassicism:1}, {Surrealism:3}, {Figurative Expressionism:1}","{France:1},{Paris:1},{Moscow:1},{Acapulco:2},{Mexico:77},{New York:1},{Spain:1},{Guerrero:1},{Mexico City:54},{Detroit:3},{MI:3},{US:9},{Northampton:1},{MA:1},{San Diego:1},{CA:4},{San Francisco:2},{Texcoco:14},{Los Angeles County Museum of Art:1},{Los Angeles:1},{Little Rock:1},{AR:1},{Saint Petersburg:1},{Russia:1},{Veracruz:2}",No,Painting/Sculpture
Claude Monet,French,,"{Modern art:3},{Impressionism:1340}","Gustave Courbet,Charles-Francois Daubigny,John Constable,J.M.W. Turner,Jean-Francois Millet,Alfred Sisley,Jacob van Ruisdael,","Childe Hassam,Robert Delaunay,Wassily Kandinsky,Frank W. Benson,",,"Eugene Boudin,Charles Gleyre,","Alfred Sisley,Pierre-Auguste Renoir,Camille Pissarro,Edouard Manet,Frederic Bazille,",1858.0,1926.0,"London, Main, Moscow, Rotterdam, Giverny, CA, UK, Dallas, Spain, PA, MO, Switzerland, OH, San Diego, US, Netherlands, Germany, Riehen, Washington DC, Williamstown, Chicago, IL, Cambridge, Budapest, Essen, Tokyo, Edinburgh, Johannesburg, Hague, Glasgow, MA, Austria, Paris, Detroit, Stockholm, MI, Hungary, Vienna, Nationalmuseum, Zürich, Providence, Boston, Berlin, Sweden, Dublin, Ireland, Russia, Saint Petersburg, Frankfurt, South Africa, RI, France, Madrid, Fort Worth, NY, Japan, Lyon, Amsterdam, Birmingham, Rouen, Oxford, New York City, Kansas City","France:1861-1924,London:1869-1889,UK:1869-1908,Boston:1875-1908,MA:1875-1908,US:1865-1924,Paris:1861-1924,Cambridge:1875-1886,Madrid:1881-1925,Spain:1881-1925,Lyon:1883-1883,Rotterdam:1882-1883,Netherlands:1867-1886,Amsterdam:1871-1886,Fort Worth:1918-1919,Rouen:1881-1894,New York City:1867-1924,NY:1867-1924,Moscow:1872-1904,Russia:1872-1904,Saint Petersburg:1872-1903,Tokyo:1875-1901,Japan:1875-1901,Essen:1880-1894,Germany:1867-1894,Riehen:1894-1894,Switzerland:1869-1894,Williamstown:1886-1893,Edinburgh:1891-1891,Budapest:1885-1885,Hungary:1885-1885,Glasgow:1880-1884,Nationalmuseum:1882-1882,Stockholm:1882-1882,Sweden:1882-1882,Hague:1867-1882,Birmingham:1882-1882,Vienna:1882-1882,Austria:1882-1882,Dallas:1880-1880,Dublin:1879-1879,Ireland:1879-1879,Zürich:1869-1879,PA:1875-1876,Detroit:1876-1876,MI:1876-1876,Johannesburg:1875-1875,South Africa:1875-1875,Kansas City:1873-1874,MO:1873-1874,Oxford:1871-1871,Providence:1871-1871,RI:1871-1871,Frankfurt:1868-1868,Main:1868-1868,Chicago:1868-1868,IL:1868-1868,OH:1867-1867,Berlin:1867-1867,San Diego:1865-1865,CA:1865-1865","Impressionist:1879-1904,Impressionism:1864-1926,Japonism:1876-1876,Realism:1858-1868","{Nineteenth-Century European PaintingImpressionism and Post-Impressionism:1}, {Impressionist:3}, {Impressionism:1326}, {Japonism:1}, {Realism:14}","{France:79},{Giverny:1},{London:6},{UK:15},{Boston:5},{MA:10},{US:35},{Paris:52},{Cambridge:5},{Madrid:4},{Spain:4},{Lyon:1},{Rotterdam:2},{Netherlands:7},{Amsterdam:3},{Fort Worth:2},{Rouen:2},{New York City:12},{NY:12},{Moscow:5},{Russia:16},{Saint Petersburg:11},{Tokyo:3},{Japan:3},{Essen:2},{Germany:4},{Riehen:1},{Switzerland:3},{Williamstown:2},{Edinburgh:1},{Budapest:1},{Hungary:1},{Glasgow:2},{Nationalmuseum:1},{Stockholm:1},{Sweden:1},{Hague:2},{Birmingham:1},{Vienna:1},{Austria:1},{Washington DC:1},{Dallas:1},{Dublin:1},{Ireland:1},{Zürich:2},{PA:2},{Detroit:1},{MI:1},{Johannesburg:1},{South Africa:1},{Kansas City:1},{MO:1},{Oxford:1},{Providence:1},{RI:1},{Frankfurt:1},{Main:1},{Chicago:2},{IL:2},{OH:1},{Berlin:1},{San Diego:1},{CA:1}",No,Painting/Sculpture
Francisco Goya,Spanish,,{Romanticism:391},"Albrecht Durer,Diego Velazquez,","Pablo Picasso,Chaim Soutine,Roberto Montenegro,Jose Clemente Orozco,Pierre-Auguste Renoir,Max Klinger,",,"José Luzán,Anton Raphael Mengs,",,1760.0,1828.0,"London, Rotterdam, Museo del Prado, UK, Kunsthalle, Dallas, Spain, Canada, Switzerland, Castres, Sao Paulo, Winterthur, Germany, Netherlands, MN, US, Washington DC, Ottawa, Budapest, Minneapolis, Brazil, Florida, Italy, San Francisco, Lille, Hamburg, Paris, Stockholm, Bayonne, Hungary, Florence, MI, Nationalmuseum, Bilbao, Sweden, Dublin, Ireland, Russia, Saint Petersburg, Frankfurt, Toledo, Munich, France, Madrid, NY, Fort Worth, Amsterdam, Zaragoza, Main, New York City","Spain:1777-1828,Paris:1797-1815,Madrid:1777-1828,Museo del Prado:1777-1828,Munich:1802-1812,Germany:1796-1812,Winterthur:1808-1826,Switzerland:1808-1826,France:1783-1820,Frankfurt:1808-1812,Main:1808-1812,Sao Paulo:1798-1812,Brazil:1798-1812,Bayonne:1801-1819,Amsterdam:1802-1823,Netherlands:1802-1823,Saint Petersburg:1810-1828,Russia:1810-1828,Minneapolis:1820-1820,MN:1820-1820,US:1783-1827,Lille:1812-1820,New York City:1787-1823,NY:1787-1823,Dallas:1827-1827,Washington DC:1783-1825,Ottawa:1820-1828,Canada:1820-1828,Bilbao:1797-1824,Rotterdam:1812-1823,Castres:1815-1815,Zaragoza:1785-1815,Nationalmuseum:1812-1814,Stockholm:1812-1814,Sweden:1812-1814,London:1788-1814,UK:1788-1814,Dublin:1800-1805,Ireland:1800-1805,Florence:1783-1800,Italy:1783-1800,Kunsthalle:1796-1799,Hamburg:1796-1799,Florida:1798-1798,Toledo:1788-1798,Budapest:1795-1795,Hungary:1795-1795,Fort Worth:1795-1795,MI:1787-1787,San Francisco:1782-1783",Romanticism:1760-1828,"{Neoclassicism / Portrait:1}, {Genre:1}, {Romanticism:389}","{Spain:168},{Paris:7},{Madrid:96},{Museo del Prado:66},{Munich:2},{Germany:6},{Winterthur:2},{Switzerland:2},{France:14},{Frankfurt:1},{Main:1},{Sao Paulo:2},{Brazil:2},{Bayonne:4},{Amsterdam:2},{Netherlands:3},{Saint Petersburg:2},{Russia:2},{Minneapolis:1},{MN:1},{US:22},{Lille:2},{New York City:12},{NY:12},{Dallas:1},{Washington DC:6},{Ottawa:2},{Canada:2},{Bilbao:2},{Rotterdam:1},{Castres:1},{Zaragoza:2},{Nationalmuseum:1},{Stockholm:1},{Sweden:1},{London:4},{UK:7},{Dublin:2},{Ireland:2},{Florence:2},{Italy:2},{Kunsthalle:3},{Hamburg:6},{Florida:1},{Toledo:2},{Budapest:1},{Hungary:1},{Fort Worth:1},{MI:1},{San Francisco:1}",No,Painting/Sculpture
Edvard Munch,Norwegian,"Berlin Secession,Degenerate art","{Symbolism,Expressionism:188}","Paul Gauguin,Vincent van Gogh,Henri de Toulouse-Lautrec,Georges Seurat,Caspar David Friedrich,","Egon Schiele,Wassily Kandinsky,Ernst Ludwig Kirchner,Max Beckmann,Paul Klee,Henri Matisse,Expressionism,Surrealism,",,"Leon Bonnat,","Franz Marc,",1881.0,1944.0,"Bergen, Norway, Thielska, Switzerland, US, Germany, Finland, Lübeck, Behnhaus, Helsinki, MA, Paris, Stockholm, Philadelphia, Zürich, Boston, Berlin, Sweden, Bremen, Galleriet, Oslo, France, NY, PA, New York City","Berlin:1895-1907,Oslo:1881-1944,Norway:1881-1944,Bergen:1884-1913,Germany:1895-1907,Helsinki:1907-1907,Finland:1907-1907,Thielska:1903-1906,Galleriet:1903-1906,Stockholm:1892-1906,Sweden:1892-1906,Paris:1904-1904,France:1904-1904,Behnhaus:1903-1903,Lübeck:1903-1903,Zürich:1902-1902,Switzerland:1902-1902,Bremen:1899-1900,New York City:1895-1896,NY:1895-1896,US:1893-1896,Philadelphia:1896-1896,PA:1896-1896,Boston:1893-1893,MA:1893-1893","Expressionism:1885-1944,Symbolism:1892-1902,Impressionism:1883-1896,Realism:1881-1884","{Expressionism:163}, {Symbolism:9}, {Impressionism:8}, {Realism:6}","{Berlin:5},{Oslo:126},{Norway:147},{Bergen:17},{Germany:6},{Helsinki:1},{Finland:1},{Thielska:3},{Galleriet:3},{Stockholm:4},{Sweden:4},{Paris:1},{France:1},{Behnhaus:1},{Lübeck:1},{Zürich:1},{Switzerland:1},{Bremen:1},{New York City:4},{NY:4},{US:7},{Philadelphia:2},{PA:2},{Boston:1},{MA:1}",No,Painting/Sculpture
Édouard Manet,,,,,,,,,1858.0,1882.0,France,France:1858-1882,Impressionist:1868-1868,{Impressionist:1},{France:10},No,Painting/Sculpture
