artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,PaintingsExhibitedAt,StylesYears,StylesCount,PaintingsExhibitedAtCount,Contemporary,Type,birth_place,birth_date,death_place,death_date,gender,citizenship,occupation,work_locations
El Greco,"Spanish,Greek",Cretan School,"{Spanish Renaissance:1},{Renaissance:2},{Mannerism:1},{Mannerism (Late Renaissance):170}","Byzantine Art,","Expressionism,Cubism,Eugene Delacroix,Edouard Manet,Der Blaue Reiter (The Blue Rider),Paul Cezanne,Pablo Picasso,Franz Marc,Jackson Pollock,Roberto Montenegro,Jose Clemente Orozco,Francisco Pacheco,",,"Titian,","Giulio Clovio,",1568.0,1614.0,"Seville, London, Illescas, Romania, Moscow, Greece, CA, Museo del Prado, UK, Spain, Canada, Amsterdam, Bologna, US, Chicago, Netherlands, Washington DC, Amiens, Baltimore, MN, Ottawa, IL, NE, Athens, Omaha, Minneapolis, Edinburgh, Heraclion, Naples, Italy, MA, San Francisco, Lille, Paris, Strasbourg, Denmark, Stockholm, Bayonne, Philadelphia, Nationalmuseum, Barcelona, Bilbao, Boston, Providence, Sweden, Dublin, Ireland, San Antonio, Russia, Ermoupoli, Toledo, Saint Petersburg, Montreal, RI, France, Madrid, NY, Fort Worth, Bucharest, MD, OH, PA, New York City",Mannerism (Late Renaissance):1568-1600,"{Renaissance:2}, {XVI CenturySpanish Painting:1}, {Mannerism (Late Renaissance):170}","{Spain:75},{Boston:1},{MA:1},{US:27},{Museo del Prado:28},{Madrid:37},{Toledo:32},{Nationalmuseum:1},{Stockholm:1},{Sweden:1},{Illescas:2},{OH:3},{Moscow:1},{Russia:3},{Bayonne:1},{France:7},{Washington DC:4},{New York City:6},{NY:7},{Chicago:2},{IL:2},{Athens:3},{Greece:6},{Seville:2},{Fort Worth:1},{London:4},{UK:7},{Bucharest:2},{Romania:2},{San Francisco:2},{CA:1},{Ottawa:1},{Canada:2},{Amiens:1},{Lille:1},{Edinburgh:2},{Barcelona:1},{Bilbao:1},{Saint Petersburg:2},{Philadelphia:2},{PA:2},{Paris:3},{Providence:1},{RI:1},{Baltimore:2},{MD:2},{Dublin:1},{Ireland:1},{Amsterdam:1},{Netherlands:1},{Strasbourg:1},{Omaha:1},{NE:1},{San Antonio:1},{Montreal:1},{Minneapolis:1},{MN:1},{Denmark:1},{Naples:1},{Italy:2},{Heraclion:2},{Bologna:1},{Ermoupoli:1}",No,Painting/Sculpture,Heraklion,1541,Toledo,1614,male,Crown of Castile,"['architectural draftsperson', 'sculptor', 'painter', 'architect']","[{'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Venice', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Toledo', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Madrid', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Utamaro,,,,,,,,,1787.0,1803.0,Japan,,,{Japan:26},No,Painting/Sculpture,Kawagoe,1754,Edo,1806,male,Japan,"['ukiyo-e artist', 'graphic artist', 'painter']",[]
René Lalique,,,,,"France,",,,"Artists1/René Lalique/Orchids Diadem##EAHg4G1jA0I1Dw.jpg,",1897.0,1955.0,"Paris, France",,,"{Paris:3},{France:16}",No,Painting/Sculpture,Aÿ,1860,Paris,1945,male,France,"['jewelry designer', 'stained-glass artist', 'medalist', 'glassblower', 'artist', 'jeweler', 'goldsmith']","{'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Jean-François Millet,,,,,,,,,1840.0,1874.0,"France, Barbizon",,,"{France:6},{Barbizon:1}",No,Painting/Sculpture,Gréville-Hague,1814,Barbizon,1875,male,France,"['architectural draftsperson', 'plower', 'graphic artist', 'painter', 'engraver', 'photographer']","[{'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Le Havre', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Cherbourg-en-Cotentin', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Barbizon', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Paris', 'start_time': '1661-01-01T00:00:00Z', 'end_time': '1679-01-01T00:00:00Z', 'point_in_time': None}]"
Margaret Bourke-White,,,{Social realism:6953},,,,,,1885.0,1982.0,,,,,,Painting/Sculpture,The Bronx,1904,Stamford,1971,female,United States of America,"['war photographer', 'journalist', 'photojournalist', 'artist', 'writer', 'photographer']","[{'location': 'India', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Italy', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'New York City', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Pakistan', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Moscow', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Germany', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'South Africa', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Cleveland', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Alfred Eisenstaedt,,,,,,,,,1901.0,1993.0,,,,,,Painting/Sculpture,Tczew,1898,Oak Bluffs,1995,male,Germany,"['journalist', 'photojournalist', 'entrepreneur', 'photographer']","[{'location': 'United States of America', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Ethiopia', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Berlin', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'New York City', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Ogata Kōrin,,,,,,,,,1700.0,1700.0,Japan,,"{Raku ware:1}, {unknown workshop:1}",{Japan:3},No,Painting/Sculpture,Heian-kyō,1658,Heian-kyō,1716,male,Japan,"['xylographer', 'painter']","[{'location': 'Osaka', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Tokyo', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Santiago Rusiñol,,,{Modern art:2},,,,,,1898.0,1911.0,"Paris, Granada",Modernism/Simbolism:1898-1908,"{Modernism/Simbolism:2}, {Modernism:3}","{Granada:2},{Paris:8}",No,Painting/Sculpture,Barcelona,1861,Aranjuez,1931,male,Spain,"['novelist', 'art critic', 'journalist', 'painter', 'playwright', 'poet', 'writer']",[]
John Sell Cotman,,,"{Norwich School:2},{Romanticism:4}",,,,,,1807.0,1807.0,"London, England",,,"{London:78},{England:1}",No,Painting/Sculpture,Norwich,1782,London,1842,male,United Kingdom of Great Britain and Ireland,"['etcher', 'publisher', 'graphic artist', 'painter', 'illustrator']","[{'location': 'London', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Norwich', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Joseph Wright of Derby,,,"{Neoclassicism:1},{Romanticism:1}",,,,,,1779.0,1786.0,"Italy, England",,,"{Italy:15},{England:1}",No,Painting/Sculpture,Derby,1734,Derby,1797,male,Kingdom of Great Britain,"['landscape painter', 'portraitist', 'architectural draftsperson', 'painter']","[{'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'London', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Bath', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Liverpool', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Derby', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Naples', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
