artist (original),"""Best"" pair",Similarity,Character difference,Operations to transform
Tethart Philip Christian Haag,Tethart Philipp Christian Haag,0.9830508474576272,1,1
Frederick Marlett Bell-Smith,Frederic Marlett Bell-Smith,0.9818181818181818,1,1
Cornelis van Poelenburgh,Cornelius van Poelenburgh,0.9795918367346939,1,1
Hans Leonard Schäufelein,Hans Leonhard Schäufelein,0.9795918367346939,1,1
Francis Leggatt Chantrey,Francis Legatt Chantrey,0.9787234042553191,1,1
Juste-Aurèle Meissonier,Juste-Aurèle Meissonnier,0.9787234042553191,1,1
Crispijn van den Broeck,Chrispijn van den Broeck,0.9787234042553191,1,1
Antonie Franciscus Dona,Anthonie Franciscus Dona,0.9787234042553191,1,1
Hieronymus Francken II,Hieronymous Francken II,0.9777777777777777,1,1
Arcadi Mas i Fondevila,Arcadi Mas i Fontdevila,0.9777777777777777,1,1
Anak Agung Gde Sobrat,Anak Agung Gede Sobrat,0.9767441860465116,1,1
Gulam Mohammed Sheikh,Ghulam Mohammed Sheikh,0.9767441860465116,1,1
Allart van Everdingen,Allaert van Everdingen,0.9767441860465116,1,1
Thomas Matthew Rooke,Thomas Matthews Rooke,0.975609756097561,1,1
Jozef Theodor Mousson,Jozef Teodor Mousson,0.975609756097561,1,1
Cornelis van Dalen I,Cornelis van Dalen II,0.975609756097561,1,1
Tristram James Ellis,Tristam James Ellis,0.9743589743589743,1,1
Esaias van den Velde,Esaias van de Velde,0.9743589743589743,1,1
Carel Lodewijk Dake,Carel Lodewijk  Dake,0.9743589743589743,1,1
Frances Ann Hopkins,Frances Anne Hopkins,0.9743589743589743,1,1
Bartolommeo Biscaino,Bartolomeo Biscaino,0.9743589743589743,1,1
Adriaen Thomasz Key,Adriaen Thomasz. Key,0.9743589743589743,1,1
Pacino di Bonaguida,Pacino di Buonaguida,0.9743589743589743,1,1
Christine Zufferey,Christiane Zufferey,0.972972972972973,1,1
Willem Roelofs (I),Willem Roelofs (II),0.972972972972973,1,1
Marcello Grassmann,Marcelo Grassmann,0.9714285714285714,1,1
Robert Montenegro,Roberto Montenegro,0.9714285714285714,1,1
Nicolaas Hogenberg,Nicolas Hogenberg,0.9714285714285714,1,1
Aleksandër Filipi,Aleksander Filipi,0.9714285714285714,1,1
Angelika Kauffmann,Angelika Kaufmann,0.9714285714285714,1,1
Pieter de Jode I,Pieter de Jode II,0.9696969696969697,1,1
