artist (original),"""Best"" pair",Similarity,Character difference,Operations to transform
Antonio del Castillo Saavedra,Antonio del Castillo y Saavedra,0.9666666666666667,2,1
Francisco Pradilla Ortiz,Francisco Pradilla y Ortiz,0.96,2,1
Albert Bayona Fernández,Albert Bayona i Fernández,0.9583333333333334,2,1
Crispin van den Broeck,Chrispijn van den Broeck,0.9565217391304348,2,2
Arthur Timótheo da Costa,Artur Timóteo da Costa,0.9565217391304348,2,2
Víctor Pérez Pallarés,Víctor Pérez i Pallarés,0.9545454545454546,2,1
Cornelis van Dalen (II),Cornelis van Dalen II,0.9545454545454546,2,2
Paulus Joseph Gabriël,Paul Joseph Gabriël,0.95,2,1
Alfred Phillipe Roll,Alfred Philippe Roll,0.95,2,2
Anthonie Palamedes,Anthonie Palamedesz.,0.9473684210526315,2,1
Baldomer Gili Roig,Baldomer Gili i Roig,0.9473684210526315,2,1
Louis Carrogis de Carmontelle,Louis Carrogis Carmontelle,0.9454545454545454,3,1
Michele Damaskinos,Michael Damaskinos,0.9444444444444444,2,2
José Vilar Torres,José Vilar y Torres,0.9444444444444444,2,1
Nicolaes Pietersz Berchem,Nicolaes Pieterszoon Berchem,0.9433962264150944,3,1
Georges Daniel de Monfreid,George-Daniel de Monfreid,0.9411764705882353,2,1
Sebastian Vranckx,Sebastiaen Vrancx,0.9411764705882353,2,2
Cadurcis Plantagenet Ream,Carducius Plantagenet Ream,0.9411764705882353,3,3
Giuseppe Nicolo Vicentino,Giuseppe Niccolò Vicentino,0.9411764705882353,2,2
Maria Auxiliadora Silva,Maria Auxiliadora da Silva,0.9387755102040817,3,1
Claes Cornelisz. Moeyaert,Claes Cornelisz. Moyeart,0.9387755102040817,3,3
Jan Collaert (II),Jan Collaert II,0.9375,2,2
Francesco Coccia,Francesco Cocchi,0.9375,2,2
Margaret Burton,Margaret Bruton,0.9333333333333333,2,2
Charles Michelez,Charles Michel,0.9333333333333333,2,1
Monogrammist CL,Monogrammist AC,0.9333333333333333,2,2
Elisabeth-Louise Vigée Le Brun,Élisabeth Louise Vigée Le Brun,0.9333333333333333,2,2
Christian Winter,Christa Winter,0.9333333333333333,2,2
Wilhelm Janson,Wilhelm Jaensson,0.9333333333333333,2,2
Monogrammist MS,Monogrammist WM,0.9333333333333333,2,2
Monogrammist MS,Monogrammist IM,0.9333333333333333,2,2
Jean-Auguste-Dominique Ingres,Jean Auguste Dominique Ingres,0.9310344827586207,2,2
Jean Pierre Frédéric Barrois,Jean-Pierre-Frédéric Barrois,0.9285714285714286,2,2
Matthias Stomer,Matthias Stom,0.9285714285714286,2,1
Jacques Gondoin,Jacques Godin,0.9285714285714286,2,2
Regina Wilson,Reginald Wilson,0.9285714285714286,2,1
Willem Isaacsz van Swanenburg,Willem Isaacsz Swanenburg,0.9259259259259259,4,1
Charles Piat,Charles Picart,0.9230769230769231,2,2
Paul Schutzer,Paul Schultze,0.9230769230769231,2,2
Richard Wyatt,Richard Waitt,0.9230769230769231,2,2
William Hind,William Hindle,0.9230769230769231,2,1
Andries Grill,Andreas Grill,0.9230769230769231,2,2
Josh Simpson,Joseph Simpson,0.9230769230769231,2,1
Charles Francois Daubigny,Charles-François Daubigny,0.92,2,2
Giacomo Franchini,Giacomo Franceschini,0.918918918918919,3,1
Ludolf Backhuysen,Ludolf Backhuysen II,0.918918918918919,3,1
Hendrick Hondius (I),Hendrik Hondius I,0.918918918918919,3,3
Pablo Ruiz Picasso,Paloma Ruiz Picasso,0.918918918918919,3,2
Cornelius Johnson,Cornelius W. Johnson,0.918918918918919,3,1
John Robins,John Robinson,0.9166666666666666,2,1
William May,William Mayor,0.9166666666666666,2,1
Francisco Bayeu Y Subias,Francisco Bayeu y Subías,0.9166666666666666,2,2
William Pye,William Payne,0.9166666666666666,2,2
Jan Sadeler I,Jan Sadeler,0.9166666666666666,2,1
I Made Wianta,Made Wianta,0.9166666666666666,2,1
Richard Lee,Richard Lewer,0.9166666666666666,2,2
Thomas Gross,Thomas Gosse,0.9166666666666666,2,2
Pieter Janszoon Saenredam,Pieter Jansz. Saenredam,0.9166666666666666,3,1
Alessandro Gnocchi,Alessandro Cocchi,0.9142857142857143,2,1
Eduardo Mac Entyre,Eduardo Macentyre,0.9142857142857143,2,1
Alexandre Fortier,Alexandre Fournier,0.9142857142857143,2,2
