artist,styles,movement,styles_extended,pictures_count,birth_place,birth_year,death_year,death_place,gender,citizenship,occupations,locations,locations_with_years
Ad Reinhardt,"Abstract Art, Abstract Expressionism, Color Field Painting, Expressionism, Hard Edge Painting, Synthetic Cubism",Abstract Expressionism,"{Abstract Art:15},{Abstract Expressionism:5},{Color Field Painting:15},{Expressionism:7},{Hard Edge Painting:8},{Synthetic Cubism:2}",52,Buffalo,1913.0,1967.0,New York City,male,United States of America,"painter, university teacher, printmaker, collagist",['New York City'],[]
Adnan Coker,"Abstract Art, Abstract Expressionism",Abstract Art,"{Abstract Art:25},{Abstract Expressionism:3}",28,,,2022.0,,male,,painter,[],[]
Akkitham Narayanan,Abstract Art,Abstract Art,{Abstract Art:17},17,Kerala,1939.0,,,male,Dominion of India,"printmaker, painter",[],[]
Alberto Magnelli,"Abstract Art, Art Nouveau (Modern), Cubism, Expressionism, Fauvism, Metaphysical art",Abstract Art,"{Abstract Art:19},{Art Nouveau (Modern):2},{Cubism:4},{Expressionism:5},{Fauvism:4},{Metaphysical art:1}",35,Florence,1888.0,1971.0,Meudon,male,Italy,"illustrator, painter","['Florence', 'Paris']",[]
Alekos Kontopoulos,"Abstract Art, Cubism, Expressionism, Post-Impressionism, Realism, Social Realism, Surrealism",Social Realism,"{Abstract Art:26},{Cubism:5},{Expressionism:10},{Post-Impressionism:8},{Realism:12},{Social Realism:6},{Surrealism:12}",79,Lamia,1904.0,1975.0,Athens,male,Greece,"writer, painter",[],[]
Alexander Calder,"Abstract Art, Abstract Expressionism, American Realism, Environmental (Land) Art, Expressionism, Kinetic Art, Surrealism, Unknown",Kinetic art,"{Abstract Art:32},{Abstract Expressionism:22},{American Realism:7},{Environmental (Land) Art:1},{Expressionism:88},{Kinetic Art:56},{Surrealism:21},{Unknown:2}",229,Philadelphia,1898.0,1976.0,New York City,male,United States of America,"photographer, illustrator, painter, sculptor, designer, printmaker, architectural draftsperson, drawer, graphic artist, jewelry designer, visual artist","['Tarragona', 'Florida', 'Berlin', 'Calvi', 'Palma de Mallorca', 'Barcelona', 'New York City', 'London', 'Paris', 'Sherman', 'Málaga', 'Madrid', 'Oshkosh']",[]
Alexander Rodchenko,"Abstract Art, Constructivism, Cubo-Futurism, Unknown",Avant-garde,"{Abstract Art:5},{Constructivism:53},{Cubo-Futurism:2},{Unknown:26}",86,Saint Petersburg,1891.0,1956.0,Moscow,male,Soviet Union,"photographer, architect, graphic designer, painter, typographer, sculptor, graphic artist, visual artist, designer","['Moscow', 'Kazan', 'Paris']",[]
Alexej von Jawlensky,"Abstract Art, Expressionism, Fauvism, Impressionism, Pointillism, Unknown",Expressionism,"{Abstract Art:9},{Expressionism:31},{Fauvism:24},{Impressionism:2},{Pointillism:1},{Unknown:1}",68,Torzhok,1864.0,1941.0,Wiesbaden,male,Germany,"painter, art collector, printmaker, drawer","['Germany', 'Zürich', 'Ascona', 'Paris', 'Saint Petersburg', 'Murnau am Staffelsee', 'Saint-Prex', 'Moscow', 'Wiesbaden', 'Munich']",[]
Alfred Freddy Krupa,"Abstract Art, Abstract Expressionism, Academicism, Art Informel, Conceptual Art, Contemporary, Contemporary Realism, Documentary photography, Existential Art, Expressionism, Fantastic Realism, Fantasy Art, Figurative Expressionism, Impressionism, Ink and wash painting, Minimalism, Neo-Expressionism, Neo-Figurative Art, Neo-Impressionism, Neo-Minimalism, Neo-Pop Art, New European Painting, New Ink Painting, New Realism, P&D (Pattern and Decoration), Photorealism, Pop Art, Post-Impressionism, Post-Minimalism, Poster Art Realism, Realism, Street Photography, Street art, Sumi-e (Suiboku-ga), Surrealism, Symbolism, Unknown",New Ink Art,"{Abstract Art:1},{Abstract Expressionism:1},{Academicism:3},{Art Informel:7},{Conceptual Art:2},{Contemporary:17},{Contemporary Realism:68},{Documentary photography:1},{Existential Art:1},{Expressionism:29},{Fantastic Realism:3},{Fantasy Art:14},{Figurative Expressionism:18},{Impressionism:4},{Ink and wash painting:27},{Minimalism:13},{Neo-Expressionism:53},{Neo-Figurative Art:46},{Neo-Impressionism:1},{Neo-Minimalism:27},{Neo-Pop Art:2},{New European Painting:44},{New Ink Painting:32},{New Realism:24},{P&D (Pattern and Decoration):4},{Photorealism:33},{Pop Art:3},{Post-Impressionism:13},{Post-Minimalism:12},{Poster Art Realism:1},{Realism:9},{Street Photography:97},{Street art:1},{Sumi-e (Suiboku-ga):68},{Surrealism:24},{Symbolism:17},{Unknown:15}",735,Karlovac,1971.0,,,male,Croatia,"book artist, art educator, painter, photographer",[],[]
Alice Rahon,"Abstract Art, Abstract Expressionism, Expressionism, Unknown",Abstract Expressionism,"{Abstract Art:2},{Abstract Expressionism:18},{Expressionism:2},{Unknown:1}",23,Chenecey-Buillon,1904.0,1987.0,Mexico City,female,France,"writer, poet, illustrator, painter",[],[]
Alla Horska,"Abstract Art, Cubism, Expressionism, Naïve Art (Primitivism), Socialist Realism",Socialist Realism,"{Abstract Art:4},{Cubism:3},{Expressionism:10},{Naïve Art (Primitivism):7},{Socialist Realism:8}",32,Yalta,1929.0,1970.0,Vasylkiv,female,Soviet Union,"dissident, painter, visual artist",[],[]
