artist,styles,movement,styles_extended,pictures_count,birth_place,birth_year,death_year,death_place,gender,citizenship,occupations,locations,locations_with_years,birth_date,death_date
Ad Reinhardt,"Abstract Art, Abstract Expressionism, Color Field Painting, Expressionism, Hard Edge Painting, Synthetic Cubism",Abstract Expressionism,"{Abstract Art:15},{Abstract Expressionism:5},{Color Field Painting:15},{Expressionism:7},{Hard Edge Painting:8},{Synthetic Cubism:2}",52,Buffalo,1913.0,1967.0,New York City,male,United States,"collagist,printmaker,university teacher,painter",New York City,[],1913.0,1967.0
Adnan Coker,"Abstract Art, Abstract Expressionism",Abstract Art,"{Abstract Art:25},{Abstract Expressionism:3}",28,,1927.0,2022.0,,male,,painter,,[],1927.0,2022.0
Akkitham Narayanan,Abstract Art,Abstract Art,{Abstract Art:17},17,Kerala,1939.0,,,male,Dominion of India,"printmaker,painter",,[],1939.0,
Alberto Magnelli,"Abstract Art, Art Nouveau (Modern), Cubism, Expressionism, Fauvism, Metaphysical art",Abstract Art,"{Abstract Art:19},{Art Nouveau (Modern):2},{Cubism:4},{Expressionism:5},{Fauvism:4},{Metaphysical art:1}",35,Florence,1888.0,1971.0,Meudon,male,Kingdom of Italy,"painter,illustrator,artist","Florence,Paris",[],1888.0,1971.0
Alekos Kontopoulos,"Abstract Art, Cubism, Expressionism, Post-Impressionism, Realism, Social Realism, Surrealism",Social Realism,"{Abstract Art:26},{Cubism:5},{Expressionism:10},{Post-Impressionism:8},{Realism:12},{Social Realism:6},{Surrealism:12}",79,Lamia,1904.0,1975.0,Athens,male,Greece,"painter,writer",,[],1904.0,1975.0
Alexander Calder,"Abstract Art, Abstract Expressionism, American Realism, Environmental (Land) Art, Expressionism, Kinetic Art, Surrealism, Unknown",Kinetic art,"{Abstract Art:32},{Abstract Expressionism:22},{American Realism:7},{Environmental (Land) Art:1},{Expressionism:88},{Kinetic Art:56},{Surrealism:21},{Unknown:2}",229,Lawnton,1898.0,1976.0,New York City,male,United States,"drawer,manufacturer,printmaker,designer,jewelry designer,sculptor,painter,illustrator,photographer","Tarragona,Florida,Berlin,Calvi,Palma,Barcelona,New York City,London,Paris,Sherman,Málaga,Q2807,Oshkosh",[],1898.0,1976.0
Alexander Rodchenko,"Abstract Art, Constructivism, Cubo-Futurism, Unknown",Avant-garde,"{Abstract Art:5},{Constructivism:53},{Cubo-Futurism:2},{Unknown:26}",86,Saint Petersburg,1891.0,1956.0,Moscow,male,Russian Socialist Federative Soviet Republic,"designer,visual artist,graphic artist,sculptor,typographer,painter,graphic designer,architect,photographer","Moscow,Kazan,Paris",[],1891.0,1956.0
Alexej von Jawlensky,"Abstract Art, Expressionism, Fauvism, Impressionism, Pointillism, Unknown",Expressionism,"{Abstract Art:9},{Expressionism:31},{Fauvism:24},{Impressionism:2},{Pointillism:1},{Unknown:1}",68,Torzhok,1864.0,1941.0,Wiesbaden,male,Weimar Republic,"drawer,printmaker,art collector,painter","Germany,Zurich,Ascona,Paris,Saint Petersburg,Murnau am Staffelsee,Saint-Prex,Moscow,Wiesbaden,Munich",[],1864.0,1941.0
Alfred Freddy Krupa,"Abstract Art, Abstract Expressionism, Academicism, Art Informel, Conceptual Art, Contemporary, Contemporary Realism, Documentary photography, Existential Art, Expressionism, Fantastic Realism, Fantasy Art, Figurative Expressionism, Impressionism, Ink and wash painting, Minimalism, Neo-Expressionism, Neo-Figurative Art, Neo-Impressionism, Neo-Minimalism, Neo-Pop Art, New European Painting, New Ink Painting, New Realism, P&D (Pattern and Decoration), Photorealism, Pop Art, Post-Impressionism, Post-Minimalism, Poster Art Realism, Realism, Street Photography, Street art, Sumi-e (Suiboku-ga), Surrealism, Symbolism, Unknown",New Ink Art,"{Abstract Art:1},{Abstract Expressionism:1},{Academicism:3},{Art Informel:7},{Conceptual Art:2},{Contemporary:17},{Contemporary Realism:68},{Documentary photography:1},{Existential Art:1},{Expressionism:29},{Fantastic Realism:3},{Fantasy Art:14},{Figurative Expressionism:18},{Impressionism:4},{Ink and wash painting:27},{Minimalism:13},{Neo-Expressionism:53},{Neo-Figurative Art:46},{Neo-Impressionism:1},{Neo-Minimalism:27},{Neo-Pop Art:2},{New European Painting:44},{New Ink Painting:32},{New Realism:24},{P&D (Pattern and Decoration):4},{Photorealism:33},{Pop Art:3},{Post-Impressionism:13},{Post-Minimalism:12},{Poster Art Realism:1},{Realism:9},{Street Photography:97},{Street art:1},{Sumi-e (Suiboku-ga):68},{Surrealism:24},{Symbolism:17},{Unknown:15}",735,Karlovac,1971.0,,,male,Croatia,"book artist,art educator,painter,photographer",,[],1971.0,
Alice Rahon,"Abstract Art, Abstract Expressionism, Expressionism, Unknown",Abstract Expressionism,"{Abstract Art:2},{Abstract Expressionism:18},{Expressionism:2},{Unknown:1}",23,Chenecey-Buillon,1904.0,1987.0,Mexico City,female,France,"painter,illustrator,poet,writer",,[],1904.0,1987.0
Alla Horska,"Abstract Art, Cubism, Expressionism, Naïve Art (Primitivism), Socialist Realism",Socialist Realism,"{Abstract Art:4},{Cubism:3},{Expressionism:10},{Naïve Art (Primitivism):7},{Socialist Realism:8}",32,Yalta,1929.0,1970.0,Vasylkiv,female,Soviet Union,"visual artist,painter,dissident",,[],1929.0,1970.0
Alphonse Allais,Abstract Art,Incoherents,{Abstract Art:7},7,Honfleur,1854.0,1905.0,Paris,male,France,"speculative fiction writer,journalist,painter,dramaturge,comedian,poet,composer,writer",,[],1854.0,1905.0
Amadeo de Souza-Cardoso,"Abstract Art, Cubism, Dada, Expressionism, Futurism, Impressionism, Unknown",Expressionism,"{Abstract Art:3},{Cubism:26},{Dada:4},{Expressionism:22},{Futurism:3},{Impressionism:8},{Unknown:1}",67,Mancelos,1887.0,1918.0,Espinho,male,Kingdom of Portugal,"caricaturist,painter",Portugal,[],1887.0,1918.0
Amin Aghaei,"Abstract Art, Magic Realism",Contemporary,"{Abstract Art:6},{Magic Realism:10}",16,Isfahan,1982.0,,,male,Iran,"caricaturist,cartoonist,painter,illustrator",,[],1982.0,
Andrzej Nowacki,Abstract Art,Abstract Art,{Abstract Art:26},26,Rabka-Zdrój,1953.0,,,male,,"visual artist,graphic artist,painter,researcher",,[],1953.0,
Anni Albers,"Abstract Art, Op Art",Constructivism,"{Abstract Art:27},{Op Art:1}",28,Berlin,1899.0,1994.0,Orange,female,Germany,"textile designer,lithographer,textile artist,designer,jewelry designer,university teacher,painter,author",,[],1899.0,1994.0
Anthony Caro,Abstract Art,New Generation Sculpture,{Abstract Art:14},14,Surrey,1924.0,2013.0,London,male,United Kingdom of Great Britain and Ireland,"visual artist,sculptor,artist",,[],1924.0,2013.0
Arne Quinze,"Abstract Art, Conceptual Art, Contemporary, Unknown",Contemporary,"{Abstract Art:3},{Conceptual Art:12},{Contemporary:4},{Unknown:1}",20,Ghent,1905.0,1961.0,,male,Belgium,"installation artist,designer,sculptor",,[],1971.0,
