style,artist,movement,count
Abstract Art,Ad Reinhardt,Abstract Expressionism,15
Abstract Art,Adnan Coker,Abstract Art,25
Abstract Art,Akkitham Narayanan,Abstract Art,17
Abstract Art,Alberto Magnelli,Abstract Art,19
Abstract Art,Alekos Kontopoulos,Social Realism,26
Abstract Art,Alexander Calder,Kinetic art,32
Abstract Art,Alexander Rodchenko,Avant-garde,5
Abstract Art,Alexej von Jawlensky,Expressionism,9
Abstract Art,Alfred Freddy Krupa,New Ink Art,1
Abstract Art,Alice Rahon,Abstract Expressionism,2
Abstract Art,Alla Horska,Socialist Realism,4
Abstract Art,Alphonse Allais,Incoherents,7
Abstract Art,Amadeo de Souza-Cardoso,Expressionism,3
Abstract Art,Amin Aghaei,Contemporary,6
Abstract Art,Andrzej Nowacki,Abstract Art,26
Abstract Art,Anni Albers,Constructivism,27
Abstract Art,Anthony Caro,New Generation Sculpture,14
Abstract Art,Arne Quinze,Contemporary,3
Abstract Art,Arthur Beecher Carles,Post-Impressionism,3
Abstract Art,Arthur Dove,Abstract Art,10
Abstract Art,Arthur Segal,Expressionism,3
Abstract Art,Auguste Herbin,Post-Impressionism,17
Abstract Art,Babak-Matveev,Neo-Pop Art,1
Abstract Art,Balcomb Greene,Abstract Art,9
Abstract Art,Beauford Delaney,Modernism,1
Abstract Art,Ben Nicholson,Cubism,5
Abstract Art,Bice Lazzari,Art Informel,4
Abstract Art,Bruno Cassinari,Expressionism,1
Abstract Art,Chaokun Wang,Contemporary,1
Abstract Art,Charles Alston,Harlem Renaissance (New Negro Movement),3
Abstract Art,Charles Gibbons,Abstract Expressionism,7
Abstract Art,Clyfford Still,Abstract Art,5
Abstract Art,Constantin Blendea,Abstract Art,23
Abstract Art,Constantin Brâncuși,Expressionism,19
Abstract Art,Constantin Flondor,Abstract Art,25
Abstract Art,Daniel Sambo-Richter,New European Painting,1
Abstract Art,David Bomberg,Cubism,2
Abstract Art,David Burliuk,Avant-garde,5
Abstract Art,David Kakabadze,Realism,21
Abstract Art,David Michael Hinnebusch,Neo-Expressionism,1
Abstract Art,David Smith,Abstract Expressionism,4
Abstract Art,Dimitris Mytaras,Expressionism,2
Abstract Art,Dusan Dzamonja,Contemporary,1
Abstract Art,Eduardo Chillida,Abstract Art,15
Abstract Art,Edward Wadsworth,Vorticism,4
Abstract Art,Else Alfelt,Abstract Art,12
Abstract Art,Emilio Pettoruti,Cubism,1
